trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'e': 0.6819384406399166, 'a': 0.6819384406399166}",25,0,-97.09815034699089,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
144,False,"{'e': 0.6777478250463158, 'a': 0.6777478250463158}",20,5,-59.22349925399186,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 1}",1
145,False,"{'e': 0.673515303296779, 'a': 0.673515303296779}",20,5,-115.83786737057144,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 2}",1
146,False,"{'e': 0.6692404563297468, 'a': 0.6692404563297468}",25,10,-8.806233324131302,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
147,False,"{'e': 0.6649228608930443, 'a': 0.6649228608930443}",30,11,-69.26675844652966,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 1}",1
148,False,"{'e': 0.6605620895019747, 'a': 0.6605620895019747}",25,0,-69.55126694713273,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
149,False,"{'e': 0.6561577103969944, 'a': 0.6561577103969944}",20,14,11.543935825510605,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.6517092875009644, 'a': 0.6517092875009644}",25,0,-110.28163266083251,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
151,False,"{'e': 0.647216380375974, 'a': 0.647216380375974}",20,0,-69.22503325656828,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
152,False,"{'e': 0.6426785441797337, 'a': 0.6426785441797337}",25,10,-49.47392888592688,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
153,False,"{'e': 0.638095329621531, 'a': 0.638095329621531}",25,0,-63.705518702708495,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
154,False,"{'e': 0.6334662829177463, 'a': 0.6334662829177463}",25,0,-60.41542259687908,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
155,False,"{'e': 0.6287909457469237, 'a': 0.6287909457469237}",20,0,-31.26174626974193,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
156,False,"{'e': 0.6240688552043929, 'a': 0.6240688552043929}",20,5,-13.529959780818087,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
157,False,"{'e': 0.6192995437564368, 'a': 0.6192995437564368}",20,0,-67.11409936761008,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
158,False,"{'e': 0.6144825391940012, 'a': 0.6144825391940012}",20,0,-35.528586499223394,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
159,False,"{'e': 0.6096173645859412, 'a': 0.6096173645859412}",20,8,-9.288834020746037,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
160,False,"{'e': 0.6047035382318006, 'a': 0.6047035382318006}",20,0,0.28976068506610075,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",1
161,False,"{'e': 0.5997405736141186, 'a': 0.5997405736141186}",25,0,-77.89324768628276,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
